mode,load,0_densenet161-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,0.8,443.73321533203125,146.76833152770996,142.7321434020996
mps-uncap,0.9,303.6367893218994,1515.577793121338,6207.156419754028
mps-uncap,1.0,2753.030776977539,8832.25417137146,8813.576221466064
mps-uncap,0.5,75.73771476745605,39.552927017211914,35.52055358886719
mps-uncap,0.6,97.87535667419434,46.95844650268555,48.22182655334473
mps-uncap,0.7,186.7084503173828,90.67535400390625,83.55498313903809
mps-uncap,0.1,50.79245567321777,31.885147094726562,38.91396522521973
mps-uncap,0.2,65.87672233581543,29.783248901367188,37.67085075378418
mps-uncap,0.3,69.75746154785156,25.987863540649414,27.949094772338867
mps-uncap,0.4,87.30697631835938,25.293588638305664,28.91683578491211
