mode,load,0_densenet161-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,0.8,154.05881404876723,45.76487541198731,58.58085155487062
mps-uncap,0.9,106.59632682800293,1335.462212562561,5455.800485610963
mps-uncap,1.0,2531.4311265945435,7771.23236656189,8073.5875606536865
mps-uncap,0.5,21.889925003051772,7.500553131103513,8.637523651123047
mps-uncap,0.6,30.6074857711792,11.125135421752931,11.821651458740238
mps-uncap,0.7,49.302673339843764,16.98756217956543,29.713869094848636
mps-uncap,0.1,8.244848251342775,5.188083648681638,5.154895782470703
mps-uncap,0.2,12.093830108642576,6.837987899780274,7.331943511962892
mps-uncap,0.3,13.945221900939941,5.8520793914794975,6.430530548095708
mps-uncap,0.4,17.62290000915528,5.741453170776367,6.406641006469727
