mode,load,0_densenet161-8,1_mobilenet_v2-8,2_mobilenet_v2-8
mps-uncap,0.8,49.85463619232178,16.977667808532715,19.894003868103027
mps-uncap,0.9,50.405025482177734,706.3981294631958,3008.394241333008
mps-uncap,1.0,653.6129713058472,4224.3170738220215,4610.8903884887695
mps-uncap,0.5,19.781827926635742,5.632877349853516,6.0749053955078125
mps-uncap,0.6,22.272825241088867,6.935834884643555,7.154703140258789
mps-uncap,0.7,29.278993606567383,8.59212875366211,11.820316314697266
mps-uncap,0.1,26.30162239074707,9.17506217956543,9.032964706420898
mps-uncap,0.2,19.347667694091797,7.937192916870117,7.927417755126953
mps-uncap,0.3,18.513917922973633,6.2236785888671875,6.193876266479492
mps-uncap,0.4,18.995046615600586,5.331635475158691,5.618929862976074
