mode,load,0_alexnet-16,1_vgg11-32,2_vgg19-4
mps-uncap,0.8,11.464715003967285,39.44826126098633,18.445253372192383
mps-uncap,0.9,71.68316841125488,679.0754795074463,56.14280700683594
mps-uncap,1.0,2170.4816818237305,3152.713179588318,321.26879692077637
mps-uncap,0.5,3.75211238861084,15.628337860107422,6.552338600158691
mps-uncap,0.6,5.005002021789551,18.594980239868164,9.829521179199219
mps-uncap,0.7,7.916688919067383,26.570796966552734,13.80622386932373
mps-uncap,0.1,2.850770950317383,13.647317886352539,3.991365432739258
mps-uncap,0.2,2.8090476989746094,13.743281364440918,3.924250602722168
mps-uncap,0.3,2.790212631225586,13.616800308227539,3.9386749267578125
mps-uncap,0.4,2.963542938232422,14.298200607299805,5.050063133239746
