mode,load,0_alexnet-16,1_vgg11-32,2_vgg19-4
mps-uncap,0.8,13.548350334167486,18.91505718231201,23.169994354248047
mps-uncap,0.9,13.327188491821289,18.599205017089844,24.74100112915039
mps-uncap,1.0,13.204288482666012,18.079071044921875,24.118566513061516
mps-uncap,0.5,12.317399978637695,17.650942802429206,18.59389305114746
mps-uncap,0.6,12.675433158874501,17.947516441345208,20.70271492004395
mps-uncap,0.7,13.348224163055427,18.721837997436523,21.702156066894524
mps-uncap,0.1,12.249159812927251,21.10601902008057,18.21126937866211
mps-uncap,0.2,11.129379272460938,17.082395553588867,14.577062129974369
mps-uncap,0.3,12.058782577514648,17.285692691802982,15.137720108032221
mps-uncap,0.4,12.197484970092773,17.279415130615238,15.726802349090567
