mode,load,0_alexnet-16,1_vgg11-32,2_vgg19-4
mps-uncap,0.8,84.06035900115967,235.28099060058594,94.35725212097168
mps-uncap,0.9,394.70534324646,1204.852337837219,219.8932838439942
mps-uncap,1.0,4351.50345802307,6153.30148935318,1666.3157701492305
mps-uncap,0.5,12.646830081939633,41.4276123046875,21.846556663513223
mps-uncap,0.6,21.390619277954006,63.508319854736264,27.552089691162163
mps-uncap,0.7,40.39868354797364,126.11075401306154,51.06724023818964
mps-uncap,0.1,2.7985334396362447,12.789835929870607,1.4414310455322594
mps-uncap,0.2,4.219696521759041,18.19255352020263,5.248286724090579
mps-uncap,0.3,7.895126342773437,22.170021533966086,11.863541603088363
mps-uncap,0.4,10.499391555786145,30.0117301940918,12.47611045837398
