mode,load,0_alexnet-16,1_vgg11-32,2_vgg19-4
mps-uncap,0.8,1762.5249634098298,1818.4050348628875,167.37778871428893
mps-uncap,0.9,2029.483304246801,2106.5726943111636,186.81771248000624
mps-uncap,1.0,2072.2172265198587,2072.492503913088,211.30804804498757
mps-uncap,0.5,1118.792694032471,1146.7865697569978,108.55867792116862
mps-uncap,0.6,1336.2553515866591,1401.2767138486354,124.41831447112945
mps-uncap,0.7,1573.0172523339972,1605.6833489829446,152.08372356693243
mps-uncap,0.1,213.17746582173984,212.8026525028906,18.247617209539126
mps-uncap,0.2,448.22568374640167,457.80129696483283,42.3088093908053
mps-uncap,0.3,673.7900029947547,684.0618445944622,60.88262359518768
mps-uncap,0.4,863.8447776901562,969.9321801704226,81.62402465024063
