mode,load,0_alexnet-16,1_vgg11-32,2_vgg19-4
mps-uncap,0.8,16.42775535583496,20.618677139282227,24.814367294311523
mps-uncap,0.9,16.034364700317383,19.83499526977539,26.06201171875
mps-uncap,1.0,15.742778778076172,19.423484802246094,25.705337524414062
mps-uncap,0.5,15.392541885375977,18.94998550415039,21.155357360839844
mps-uncap,0.6,16.228199005126953,20.19476890563965,23.286104202270508
mps-uncap,0.7,15.680074691772461,19.719362258911133,25.202035903930664
mps-uncap,0.1,19.860029220581055,22.649765014648438,21.026134490966797
mps-uncap,0.2,13.27061653137207,18.693923950195312,16.048431396484375
mps-uncap,0.3,14.623880386352539,21.869421005249023,18.2952880859375
mps-uncap,0.4,14.632940292358398,18.503189086914062,19.83499526977539
