mode,load,0_inception_v3-2,1_resnet152-2,2_vgg13-8
mps-uncap,0.8,89.35168594931737,61.70973038754375,1211.6329822656517
mps-uncap,0.9,100.20675716530432,68.92158113915633,1367.432440030381
mps-uncap,1.0,107.53102316435204,78.51824933862697,1356.5441425363947
mps-uncap,0.5,56.32071796900451,40.2338285182063,760.6282676308331
mps-uncap,0.6,67.6529512074876,48.334625266091614,934.0928744711321
mps-uncap,0.7,79.32668164793448,54.83324504271985,1056.9722984318657
mps-uncap,0.1,11.321389088030294,7.820635541829443,156.45919380573667
mps-uncap,0.2,22.963418808074618,16.52121480728941,309.3349832251476
mps-uncap,0.3,31.67533797186235,22.32283438302853,451.19616729850895
mps-uncap,0.4,44.77461031373259,31.147481068032448,604.8370002855783
