mode,load,0_resnet34-8,1_resnet34-8,2_resnet34-8,3_resnet34-8
mig,0.1,124.19152604594282,123.70376666826539,124.4314071856305,59.65450230266462
mig,0.3,367.9723218785995,360.2010732597488,360.9855349930554,193.04833949028838
mig,0.4,482.6038904573266,497.5093386892926,483.1575531387771,238.417175299116
mig,0.5,631.3112020750104,611.0307291561129,597.0140260732554,308.35506219373195
mig,0.6,751.5118251137125,708.6026195805199,720.0869238721351,368.3370248913492
mig,0.7,846.8095252324774,858.7554260204184,835.3669151993215,438.956531553308
mig,0.8,1006.6782065258261,983.2969348158502,964.9428557116244,489.7240895818081
mig,0.9,1126.1917778084926,1111.5033371006516,1092.4261140881026,564.2823665843579
mig,1.0,1234.5328121958569,1223.9648366008964,1215.8398186554625,632.4398584680849
mig,0.2,247.62952627792293,240.73656976396464,235.899512904436,129.8228308338858
