mode,load,0_efficientnet_b7-4,1_vgg13-32,2_vgg16-4
mps-uncap,0.8,13.284683227539062,14.63770866394043,2.8977394104003906
mps-uncap,0.9,13.196945190429688,14.670610427856445,2.9206275939941406
mps-uncap,1.0,14.893054962158203,14.693498611450195,2.9370784759521484
mps-uncap,0.5,13.444662094116211,14.573097229003906,2.891063690185547
mps-uncap,0.6,13.188600540161133,14.587640762329102,2.906322479248047
mps-uncap,0.7,12.942075729370117,14.583110809326172,2.8853416442871094
mps-uncap,0.1,13.746500015258789,14.548778533935547,2.910614013671875
mps-uncap,0.2,13.50855827331543,14.522552490234375,2.8731822967529297
mps-uncap,0.3,13.453245162963867,14.559745788574219,2.883434295654297
mps-uncap,0.4,13.862133026123047,14.53852653503418,2.8870105743408203
