mode,load,0_efficientnet_b7-4,1_vgg13-32,2_vgg16-4
mps-uncap,0.8,151.58557891845703,21.199941635131836,22.75991439819336
mps-uncap,0.9,139.83154296875,20.633459091186523,22.953271865844727
mps-uncap,1.0,160.691499710083,21.592378616333008,23.342609405517578
mps-uncap,0.5,114.95542526245117,20.86639404296875,18.707990646362305
mps-uncap,0.6,124.27949905395508,19.292116165161133,20.957231521606445
mps-uncap,0.7,135.25772094726562,19.661903381347656,21.58498764038086
mps-uncap,0.1,32.50312805175781,17.24100112915039,18.229961395263672
mps-uncap,0.2,51.31649971008301,17.26222038269043,16.916275024414062
mps-uncap,0.3,69.52810287475586,17.465829849243164,17.330646514892578
mps-uncap,0.4,84.8085880279541,18.383502960205078,18.11504364013672
