mode,load,0_alexnet-4,1_alexnet-2,2_inception_v3-4
mps-uncap,1.0,3545.892705224426,1831.6922365219473,426.87903602795217
mig,1.0,3093.1643501921512,1333.7990310350317,457.10037846733695
