mode,load,0_alexnet-4,1_alexnet-2,2_inception_v3-4
mps-uncap,1.0,1.2464523315429688,1.2192726135253906,9.662389755249023
mig,1.0,1.3797283172607422,1.5802383422851562,8.864235877990723
