mode,load,0_alexnet-4,1_alexnet-2,2_inception_v3-4
mps-uncap,1.0,1.1179447174072266,1.0797977447509766,9.341001510620117
mig,1.0,1.2564659118652344,1.4753341674804688,8.713722229003906
