mode,load,0_alexnet-32,1_densenet201-16,2_resnet101-16
mps-uncap,0.8,21.81225776672356,217.64159202575684,152.52012252807623
mps-uncap,0.9,36.270546913147,737.1731615066528,419.92238044738787
mps-uncap,1.0,108.25440883636473,737.8496360778815,763.0220055580139
mps-uncap,0.5,9.436025619506834,73.58239412307739,42.39821910858156
mps-uncap,0.6,10.814728736877445,85.84029197692874,51.364455223083496
mps-uncap,0.7,15.543437004089377,150.03981590271,67.00468063354492
mps-uncap,0.1,4.450957775115968,33.778090476989746,22.504913806915283
mps-uncap,0.2,5.34794807434082,45.70083856582641,27.942397594451858
mps-uncap,0.3,6.119418144226089,42.45795488357546,31.814985275268576
mps-uncap,0.4,7.981224060058592,57.056951522827156,33.484292030334466
