mode,load,0_alexnet-32,1_densenet201-16,2_resnet101-16
mps-uncap,0.8,6842.853848811683,268.2586571974762,545.8893614617431
mps-uncap,0.9,7574.726604164998,302.7769752737874,620.9074728596977
mps-uncap,1.0,8450.01031280396,329.5185495132635,663.5273878883688
mps-uncap,0.5,4271.486786102265,166.28587572287864,335.89914163881116
mps-uncap,0.6,5118.601353815546,200.30451959286708,419.4933073811948
mps-uncap,0.7,5947.885245515673,244.1520989152091,454.8296354403822
mps-uncap,0.1,900.4878534712028,33.21245572767763,53.75363439182798
mps-uncap,0.2,1702.543871056017,66.01811574295239,145.21174585904652
mps-uncap,0.3,2575.069131299337,95.05299113529196,196.25084453405142
mps-uncap,0.4,3437.1004047556157,120.79810540627624,265.00243740213176
