mode,load,0_efficientnet_b5-2,1_vgg13-32,2_vgg19-2
mps-uncap,0.8,168.9413738250733,144.83191967010507,78.98625850677486
mps-uncap,0.9,473.83586883544933,293.21080207824707,121.87013626098636
mps-uncap,1.0,2159.721646308899,1860.958766937256,833.9002752304077
mps-uncap,0.5,61.25735998153686,56.104421615600586,28.059353828430176
mps-uncap,0.6,96.02313041687006,94.29082870483396,39.21715259551996
mps-uncap,0.7,154.0798377990722,99.60851669311485,62.973041534423835
mps-uncap,0.1,36.28488779067993,28.788418769836422,15.444743633270267
mps-uncap,0.2,44.6155643463135,31.218314170837395,16.135692596435547
mps-uncap,0.3,49.755752086639404,45.25481939315795,16.81036949157718
mps-uncap,0.4,64.33702468872089,48.60990047454836,26.400246620178233
