mode,load,0_efficientnet_b5-2,1_vgg13-32,2_vgg19-2
mps-uncap,0.8,80.34342288970949,17.43764877319336,19.100685119628903
mps-uncap,0.9,87.9716014862061,17.50555992126465,19.507789611816406
mps-uncap,1.0,84.41102981567383,17.676448822021484,19.7715425491333
mps-uncap,0.5,60.55359840393065,16.599416732788086,17.01520919799805
mps-uncap,0.6,70.77218055725093,16.997840404510498,17.86457538604736
mps-uncap,0.7,81.80255889892578,17.2210693359375,18.642528057098392
mps-uncap,0.1,30.142760276794476,15.473837852478027,15.385437011718755
mps-uncap,0.2,34.849314689636245,15.822615623474121,15.352010726928711
mps-uncap,0.3,49.697041511535645,15.99344491958618,15.81525802612305
mps-uncap,0.4,60.87255477905275,16.2090539932251,16.26514434814453
