mode,load,0_efficientnet_b5-2,1_vgg13-32,2_vgg19-2
mps-uncap,0.8,116.39411449432376,128.6445975303651,61.927466392517005
mps-uncap,0.9,405.9160614013673,276.8794822692872,106.04662895202638
mps-uncap,1.0,2079.808235168457,1843.8453674316406,815.6537342071532
mps-uncap,0.5,34.68029022216796,40.29214382171631,16.55616760253913
mps-uncap,0.6,57.14097023010253,78.18065881729117,26.239290237426644
mps-uncap,0.7,102.92727947235106,82.87565708160389,48.46424579620362
mps-uncap,0.1,1.938831806182932,14.288144111633297,4.94928359985359
mps-uncap,0.2,23.523254394531318,16.433305740356438,2.8679370880126953
mps-uncap,0.3,23.34076166152954,29.58512783050534,8.957815170288091
mps-uncap,0.4,31.542758941650423,33.25698375701912,14.175271987915076
