mode,load,0_efficientnet_b5-2,1_vgg13-32,2_vgg19-2
mps-uncap,0.8,54.15239334106446,69.31626796722412,24.540138244628917
mps-uncap,0.9,225.68664550781259,115.99545478820802,52.21724510192871
mps-uncap,1.0,1364.2889976501474,1557.236671447754,538.1293535232544
mps-uncap,0.5,8.849787712097168,14.54782485961914,3.253102302551283
mps-uncap,0.6,16.21537208557128,26.720166206359863,9.409093856811515
mps-uncap,0.7,30.511379241943356,37.652015686035156,13.814330101013201
mps-uncap,0.1,0.07092952728271484,0.09975433349609437,0.07152557373046875
mps-uncap,0.2,0.07190704345703125,6.203842163085939,0.06890296936035156
mps-uncap,0.3,1.8178224563598633,12.106823921203615,0.06723403930664062
mps-uncap,0.4,0.07119178771972659,14.333724975585938,0.8713722229003924
