mode,load,0_densenet201-32,1_mobilenet_v3_large-32,2_resnet152-16
mps-uncap,0.8,432.30285882949846,62.0995116233825,191.62772178649888
mps-uncap,0.9,730.5231380462646,185.80999374389577,325.85000991821266
mps-uncap,1.0,1261.6369819641116,505.3967666625976,927.9854869842524
mps-uncap,0.5,109.2373943328857,25.85763931274414,65.56353569030766
mps-uncap,0.6,133.74576568603504,34.27984237670897,98.07346343994112
mps-uncap,0.7,185.96757411956787,53.084735870361364,150.47616004943848
mps-uncap,0.1,40.07016420364377,13.864011764526358,27.671518325805657
mps-uncap,0.2,58.30025672912598,15.821743011474606,36.368045806884716
mps-uncap,0.3,77.31704711914064,20.953791141510006,51.85871124267575
mps-uncap,0.4,94.84247207641627,22.317445278167728,56.7144036293029
