mode,load,0_densenet201-32,1_mobilenet_v3_large-32,2_resnet152-16
mps-uncap,0.8,0.017642974853515625,0.010728836059570312,0.012636184692382812
mps-uncap,0.9,0.014543533325195312,0.011205673217773438,0.012874603271484375
mps-uncap,1.0,0.015735626220703125,0.010728836059570312,0.013828277587890625
mps-uncap,0.5,0.01430511474609375,0.012159347534179688,0.012636184692382812
mps-uncap,0.6,0.0133514404296875,0.010728836059570312,0.0133514404296875
mps-uncap,0.7,0.013113021850585938,0.010967254638671875,0.01239776611328125
mps-uncap,0.1,0.02288818359375,0.01239776611328125,0.023603439331054688
mps-uncap,0.2,0.02288818359375,0.012636184692382812,0.015497207641601562
mps-uncap,0.3,0.0152587890625,0.0133514404296875,0.019073486328125
mps-uncap,0.4,0.0152587890625,0.012159347534179688,0.011920928955078125
