mode,load,0_densenet201-32,1_mobilenet_v3_large-32,2_resnet152-16
mps-uncap,0.8,58.29348564147949,12.730026245117186,39.63055610656738
mps-uncap,0.9,57.59377479553223,14.29295539855957,41.115522384643555
mps-uncap,1.0,60.98895072937012,14.815187454223633,41.20898246765137
mps-uncap,0.5,46.35825157165527,10.762453079223633,31.525850296020508
mps-uncap,0.6,48.32577705383301,11.459207534790039,34.30948257446289
mps-uncap,0.7,53.69043350219727,11.820697784423828,37.28065490722656
mps-uncap,0.1,32.973289489746094,8.258533477783203,20.28880119323731
mps-uncap,0.2,34.974098205566406,8.167505264282227,20.714211463928223
mps-uncap,0.3,40.04592895507813,8.892250061035156,28.664684295654297
mps-uncap,0.4,43.480539321899414,9.344816207885744,30.3847074508667
