mode,load,0_alexnet-2,1_densenet161-16,2_resnet34-2
mps-uncap,0.8,1.2640953063964844,26.9927978515625,4.79435920715332
mps-uncap,0.9,1.2505054473876953,27.01127529144287,4.937410354614258
mps-uncap,1.0,1.2464523315429688,29.32906150817871,4.302501678466797
mps-uncap,0.5,1.1107921600341797,25.249242782592773,4.296541213989258
mps-uncap,0.6,1.1696815490722656,26.332855224609375,3.8080215454101562
mps-uncap,0.7,1.0994672775268555,27.34375,4.430532455444336
mps-uncap,0.1,1.3458728790283203,24.74236488342285,7.622718811035156
mps-uncap,0.2,1.31988525390625,21.387457847595215,7.216095924377441
mps-uncap,0.3,1.2917518615722656,22.548437118530273,5.923867225646973
mps-uncap,0.4,1.2509822845458984,24.00076389312744,4.350066184997559
