mode,load,0_alexnet-2,1_densenet161-16,2_resnet34-2
mps-uncap,0.8,47.96719551086426,341.5675163269043,153.67913246154785
mps-uncap,0.9,202.7573585510254,502.86197662353516,3399.158239364624
mps-uncap,1.0,4427.167177200317,7701.210260391235,2163.7885570526123
mps-uncap,0.5,10.198354721069336,193.8779354095459,51.36919021606445
mps-uncap,0.6,18.90110969543457,139.7113800048828,30.611038208007812
mps-uncap,0.7,12.737512588500977,231.1265468597412,76.9493579864502
mps-uncap,0.1,4.703998565673828,27.835845947265625,18.333911895751953
mps-uncap,0.2,5.47480583190918,58.85672569274902,26.23581886291504
mps-uncap,0.3,7.628202438354492,45.87960243225098,21.29650115966797
mps-uncap,0.4,11.800050735473633,78.77349853515625,25.160551071166992
