mode,load,0_resnet50-16,1_resnet18-8,2_resnet50-8
mps-uncap,0.6,656.0018023467337,1061.084697645058,362.9319842814553
mig,0.6,630.8898823019576,1073.4170914972933,376.7080809292359
mps-uncap,0.7,761.408164086902,1255.6243358615843,418.8099624330931
mig,0.7,754.2817068373851,1274.9821004993623,431.3587553496732
mps-uncap,0.8,869.5337784049827,1439.272832875585,490.4030030275212
mig,0.8,865.2896775441271,1402.9712992148143,486.3635397321993
mps-uncap,0.9,996.1380584142034,1595.2968807084933,552.2413440370029
mig,0.9,961.7554914241656,1607.9527552372106,562.6887225463523
mps-uncap,1.0,1085.1260066108398,1797.0503333280772,597.2872796431722
mig,1.0,1061.1888098212614,1787.8742291562205,593.335577179455
mps-uncap,1.1,1199.2716272404095,1684.495777086458,674.6628610705852
mig,1.1,1091.3659717585047,1811.0656588231946,614.9334577579706
mps-uncap,1.2,1294.7783128032254,1375.6376101162293,683.7870248574474
mig,1.2,1093.5798164636374,1811.8021047195168,616.6440583007279
mps-uncap,1.3,1244.3854108275839,1393.1590539659762,760.2701295140673
mig,1.3,1088.7695907988386,1803.342288964257,614.2928022871258
