mode,load,0_resnet50-16,1_resnet18-8,2_resnet50-8
mps-uncap,0.6,18.162965774536133,10.947227478027344,18.28145980834961
mig,0.6,18.423080444335938,18.12148094177246,24.84297752380371
mps-uncap,0.7,15.992879867553711,11.497735977172852,16.010284423828125
mig,0.7,23.27251434326172,18.970966339111328,25.226116180419922
mps-uncap,0.8,18.230676651000977,12.384891510009766,15.11836051940918
mig,0.8,18.78190040588379,17.60244369506836,25.935888290405273
mps-uncap,0.9,16.633987426757812,13.322591781616211,16.378402709960938
mig,0.9,29.25896644592285,18.393993377685547,26.662349700927734
mps-uncap,1.0,21.58188819885254,13.083696365356445,14.990091323852539
mig,1.0,27.615070343017578,18.858671188354492,27.521610260009766
mps-uncap,1.1,24.349451065063477,16.257762908935547,24.04475212097168
mig,1.1,24.69325065612793,18.067359924316406,21.359682083129883
mps-uncap,1.2,22.962331771850586,16.752958297729492,22.517681121826172
mig,1.2,26.28326416015625,18.7222957611084,25.364398956298828
mps-uncap,1.3,24.8260498046875,17.56739616394043,21.77262306213379
mig,1.3,26.567459106445312,18.2492733001709,23.975849151611328
