mode,load,0_mobilenet_v2-16,1_mobilenet_v3_large-4,2_mobilenet_v3_small-2
mps-uncap,0.8,5.4683685302734375,5.755186080932617,4.475831985473633
mps-uncap,0.9,4.93168830871582,4.833221435546875,4.46772575378418
mps-uncap,1.0,4.8961639404296875,5.014181137084961,4.292726516723633
mps-uncap,0.5,7.057428359985352,7.828712463378906,6.519556045532227
mps-uncap,0.6,5.925655364990234,6.797313690185547,5.790948867797852
mps-uncap,0.7,5.3653717041015625,6.293296813964844,5.158185958862305
mps-uncap,0.1,7.903575897216797,8.428573608398438,7.400989532470703
mps-uncap,0.2,8.066415786743164,8.197784423828125,6.949424743652344
mps-uncap,0.3,7.184505462646484,8.407115936279297,7.73167610168457
mps-uncap,0.4,7.343053817749023,8.413076400756836,7.342338562011719
