mode,load,0_mobilenet_v2-16,1_mobilenet_v3_large-4,2_mobilenet_v3_small-2
mps-uncap,0.8,13.583993911743162,12.315607070922853,10.530233383178711
mps-uncap,0.9,24.832010269165043,35.90226173400879,17.719268798828132
mps-uncap,1.0,147.87390232086184,845.6749677658081,49.85084533691407
mps-uncap,0.5,6.0991525650024405,6.171178817749023,5.535840988159183
mps-uncap,0.6,6.777501106262211,6.895542144775391,4.940938949584962
mps-uncap,0.7,9.093642234802246,8.7522029876709,6.350612640380859
mps-uncap,0.1,2.3124217987060547,3.9774656295776367,3.9964914321899405
mps-uncap,0.2,5.199170112609865,6.388759613037109,5.330038070678712
mps-uncap,0.3,6.145429611206056,6.91378116607666,6.405353546142578
mps-uncap,0.4,6.361556053161621,7.091331481933593,6.235980987548829
