mode,load,0_mobilenet_v2-16,1_mobilenet_v3_large-4,2_mobilenet_v3_small-2
mps-uncap,0.8,6.678938865661621,6.10804557800293,5.348443984985352
mps-uncap,0.9,10.728836059570312,11.846780776977539,7.613897323608398
mps-uncap,1.0,35.24494171142578,336.3211154937744,14.838814735412598
mps-uncap,0.5,4.910945892333984,4.836559295654297,4.162073135375977
mps-uncap,0.6,4.609346389770508,4.7310590744018555,3.741025924682617
mps-uncap,0.7,5.361437797546387,5.166530609130859,4.093289375305176
mps-uncap,0.1,6.088018417358398,7.14564323425293,6.177783012390137
mps-uncap,0.2,6.346583366394043,7.080793380737305,6.032228469848633
mps-uncap,0.3,6.101131439208984,6.569147109985352,5.825281143188477
mps-uncap,0.4,5.483865737915039,5.653738975524902,5.049705505371094
