mode,load,0_mobilenet_v2-16,1_mobilenet_v3_large-4,2_mobilenet_v3_small-2
mps-uncap,0.8,3.679037094116211,3.6563873291015625,3.306150436401367
mps-uncap,0.9,3.7086009979248047,3.661632537841797,3.3011436462402344
mps-uncap,1.0,3.721475601196289,3.7393569946289062,3.2477378845214844
mps-uncap,0.5,5.052804946899414,4.884243011474609,4.108715057373047
mps-uncap,0.6,3.727507591247559,3.902554512023926,3.7589073181152344
mps-uncap,0.7,3.6867856979370117,3.737211227416992,3.2227277755737305
mps-uncap,0.1,6.411314010620117,7.677412033081055,6.609916687011719
mps-uncap,0.2,6.447005271911621,7.2917938232421875,6.24995231628418
mps-uncap,0.3,6.209611892700195,7.08460807800293,6.185770034790039
mps-uncap,0.4,5.642366409301759,5.9329748153686515,5.3543806076049805
