mode,load,0_mobilenet_v2-16,1_mobilenet_v3_large-4,2_mobilenet_v3_small-2
mps-uncap,0.8,3.0481815338134766,2.716541290283203,2.3250579833984375
mps-uncap,0.9,3.0748844146728516,2.718210220336914,2.2919178009033203
mps-uncap,1.0,3.058910369873047,2.805948257446289,2.357006072998047
mps-uncap,0.5,3.049135208129883,2.7282238006591797,2.282857894897461
mps-uncap,0.6,3.0646324157714844,2.7501583099365234,2.3093223571777344
mps-uncap,0.7,3.0510425567626953,2.7539730072021484,2.347707748413086
mps-uncap,0.1,3.0546188354492188,2.7816295623779297,2.3958683013916016
mps-uncap,0.2,3.064870834350586,2.753734588623047,2.3183822631835938
mps-uncap,0.3,3.0541419982910156,2.6960372924804688,2.3157596588134766
mps-uncap,0.4,3.064870834350586,2.7306079864501953,2.325296401977539
