mode,load,0_mobilenet_v2-16,1_mobilenet_v3_large-4,2_mobilenet_v3_small-2
mps-uncap,0.8,28.35909843444825,30.298047065734863,26.387119293212887
mps-uncap,0.9,50.08125782012941,103.16326618194579,36.623380184173634
mps-uncap,1.0,204.44851875305176,930.4635190963746,93.60477447509766
mps-uncap,0.5,17.308869361877445,17.760426998138435,15.284872055053649
mps-uncap,0.6,18.32265615463257,17.601847648620605,13.788852691650373
mps-uncap,0.7,21.828413009643555,22.45858192443849,17.292649745941166
mps-uncap,0.1,12.161302566528326,16.10568523406979,15.105762481689448
mps-uncap,0.2,16.47700548171996,21.31285667419432,16.833295822143548
mps-uncap,0.3,17.79155731201165,20.57250738143921,19.583702087402354
mps-uncap,0.4,18.597028255462646,19.551222324371313,17.429618835449215
