mode,load,0_mobilenet_v2-16,1_mobilenet_v3_large-4,2_mobilenet_v3_small-2
mps-uncap,0.8,3.522038459777832,3.4350156784057617,2.9909610748291016
mps-uncap,0.9,3.6153793334960938,3.535032272338867,3.095388412475586
mps-uncap,1.0,3.6520957946777344,3.645658493041992,3.014802932739258
mps-uncap,0.5,3.699660301208496,3.606081008911133,3.186464309692383
mps-uncap,0.6,3.5102367401123047,3.438711166381836,2.691507339477539
mps-uncap,0.7,3.515005111694336,3.4711360931396484,2.700209617614746
mps-uncap,0.1,5.891323089599609,6.918549537658691,5.924582481384277
mps-uncap,0.2,5.945563316345215,6.657123565673828,5.646228790283203
mps-uncap,0.3,5.350351333618164,4.836440086364746,4.708290100097656
mps-uncap,0.4,3.8034915924072266,4.536151885986328,3.8793087005615234
