mode,load,0_mobilenet_v2-16,1_mobilenet_v3_large-4,2_mobilenet_v3_small-2
mps-uncap,0.8,3384.0756525918514,874.7491508158407,516.5085053927456
mps-uncap,0.9,3829.2467991104745,1024.2855047305845,570.6598255335197
mps-uncap,1.0,4213.742654014629,1102.9338964205895,625.9038311915975
mps-uncap,0.5,2111.0143883739133,545.9490551490264,322.1575196521412
mps-uncap,0.6,2614.5651301948988,683.6472823420162,385.1264363324422
mps-uncap,0.7,2946.152762988971,778.5581345755245,448.1004042182537
mps-uncap,0.1,423.93212297749596,112.70950009039917,65.36725105466854
mps-uncap,0.2,885.3662853441245,222.26605613438144,126.14373622309415
mps-uncap,0.3,1307.7360365448083,334.6591675166229,190.22539383049963
mps-uncap,0.4,1715.0374007929986,441.33511129207824,254.01391142594773
