mode,load,0_mobilenet_v2-16,1_mobilenet_v3_large-4,2_mobilenet_v3_small-2
mps-uncap,0.8,24.919703006744392,26.772172451019284,23.652505874633782
mps-uncap,0.9,46.573529243469245,99.9953985214233,33.56581449508667
mps-uncap,1.0,200.81437826156613,927.1426630020142,90.73107957839966
mps-uncap,0.5,13.562607765197754,13.959283828735352,12.128181457519515
mps-uncap,0.6,14.858474731445312,14.14179801940918,10.896320343017566
mps-uncap,0.7,18.266797065734863,19.116213321685866,14.403197765350349
mps-uncap,0.1,6.236505508422865,9.45555210113525,9.22700166702268
mps-uncap,0.2,10.884482860565168,15.652112960815415,11.589446067810014
mps-uncap,0.3,13.04245710372922,15.973174571990969,15.064644813537608
mps-uncap,0.4,14.431567192077628,15.210497379302938,13.260822296142567
