mode,load,0_mobilenet_v2-16,1_mobilenet_v3_large-4,2_mobilenet_v3_small-2
mps-uncap,0.8,17.08371639251709,15.660500526428228,13.350725173950195
mps-uncap,0.9,28.4296989440918,39.432525634765625,20.661020278930664
mps-uncap,1.0,151.47624015808105,849.242353439331,52.757883071899435
mps-uncap,0.5,9.951448440551758,10.077595710754395,8.942794799804688
mps-uncap,0.6,10.304975509643558,10.326743125915527,7.790660858154298
mps-uncap,0.7,12.570858001708984,12.16585636138916,9.09402370452881
mps-uncap,0.1,7.943153381347656,10.498356819152832,9.575986862182615
mps-uncap,0.2,10.945081710815431,12.808036804199222,10.871505737304688
mps-uncap,0.3,11.552834510803223,12.411355972290039,11.4898681640625
mps-uncap,0.4,10.729527473449707,11.684536933898926,10.266876220703125
