mode,load,0_mobilenet_v2-16,1_mobilenet_v3_large-4,2_mobilenet_v3_small-2
mps-uncap,0.8,3.032207489013672,2.672910690307617,2.2749900817871094
mps-uncap,0.9,3.056049346923828,2.6891231536865234,2.2618770599365234
mps-uncap,1.0,3.043651580810547,2.706289291381836,2.297639846801758
mps-uncap,0.5,3.0319690704345703,2.6702880859375,2.240896224975586
mps-uncap,0.6,3.0472278594970703,2.707242965698242,2.2568702697753906
mps-uncap,0.7,3.0364990234375,2.706289291381836,2.301931381225586
mps-uncap,0.1,3.041982650756836,2.7205944061279297,2.336263656616211
mps-uncap,0.2,3.0450820922851562,2.722501754760742,2.2859573364257812
mps-uncap,0.3,3.038167953491211,2.6438236236572266,2.290487289428711
mps-uncap,0.4,3.049135208129883,2.6900768280029297,2.295970916748047
