mode,load,0_mobilenet_v2-16,1_mobilenet_v3_large-4,2_mobilenet_v3_small-2
mps-uncap,0.8,44.35420036315918,45.717716217041016,40.62366485595703
mps-uncap,0.9,70.19162178039551,133.96453857421875,52.12545394897461
mps-uncap,1.0,230.08370399475098,968.2309627532959,121.52862548828125
mps-uncap,0.5,26.37171745300293,29.190778732299805,26.274919509887695
mps-uncap,0.6,32.22990036010742,25.359630584716797,24.344682693481445
mps-uncap,0.7,53.621530532836914,32.17196464538574,33.90192985534668
mps-uncap,0.1,15.744924545288086,21.009206771850586,19.8516845703125
mps-uncap,0.2,23.238182067871094,30.286312103271484,24.367094039916992
mps-uncap,0.3,23.043394088745117,31.48365020751953,26.946306228637695
mps-uncap,0.4,27.150392532348633,30.93123435974121,26.66616439819336
