mode,load,0_mobilenet_v2-16,1_mobilenet_v3_large-4,2_mobilenet_v3_small-2
mps-uncap,0.8,3.7523221969604497,4.122734069824219,3.4966230392456055
mps-uncap,0.9,3.7711668014526367,3.7585735321044917,3.4630298614501953
mps-uncap,1.0,3.769397735595703,3.8142347335815434,3.383209705352783
mps-uncap,0.5,5.5642151832580575,6.304736137390147,5.333843231201167
mps-uncap,0.6,4.718847274780273,5.151152610778809,4.3575191497802725
mps-uncap,0.7,3.8103461265563965,4.635946750640871,3.9387059211730966
mps-uncap,0.1,6.77940845489502,8.095784187316895,7.007532119750975
mps-uncap,0.2,6.805226802825927,7.806558609008788,6.61271572113037
mps-uncap,0.3,6.51482343673706,7.665896415710449,6.664276123046875
mps-uncap,0.4,6.2462449073791495,7.496519088745115,6.299893856048581
