mode,load,0_densenet161-2,1_densenet169-4,2_resnet152-16
mps-uncap,0.8,143.57853412628174,84.41741943359366,114.85037088394179
mps-uncap,0.9,156.17531776428217,199.13363933563193,226.97180747985826
mps-uncap,1.0,832.8247547149658,915.1869773864746,1085.3219509124756
mps-uncap,0.5,43.31727981567382,42.928457260131836,64.04039859771727
mps-uncap,0.6,48.82237434387204,51.45440101623533,67.00517416000363
mps-uncap,0.7,72.09092617034914,77.85985231399539,89.23145294189452
mps-uncap,0.1,37.541933059692404,44.83738660812378,33.85775566101074
mps-uncap,0.2,41.83946609497071,43.715286254882784,32.70967721939088
mps-uncap,0.3,38.65417242050171,41.57456398010256,45.388154983520515
mps-uncap,0.4,39.73491907119749,42.4331045150758,47.68293380737305
