mode,load,0_inception_v3-8,1_vgg13-2,2_vgg13-2
mps-uncap,0.8,10.317683219909668,2.511262893676758,2.529621124267578
mps-uncap,0.9,12.178897857666016,2.6824474334716797,2.758026123046875
mps-uncap,1.0,15.573978424072266,3.1480789184570312,3.0984878540039062
mps-uncap,0.5,11.195182800292969,1.9788742065429688,1.996755599975586
mps-uncap,0.6,9.764909744262695,2.1234750747680664,2.111196517944336
mps-uncap,0.7,9.532690048217773,2.2623538970947266,2.2988319396972656
mps-uncap,0.1,12.303829193115234,1.8486976623535156,1.8544197082519531
mps-uncap,0.2,12.271404266357422,1.8310546875,1.834273338317871
mps-uncap,0.3,12.018442153930664,1.844167709350586,1.8527507781982422
mps-uncap,0.4,12.02249526977539,1.9316673278808594,1.9075870513916016
