mode,load,0_inception_v3-8,1_vgg13-2,2_vgg13-2
mps-uncap,0.8,75.2103328704834,33.87737274169922,28.448820114135742
mps-uncap,0.9,155.77054023742676,54.94809150695801,60.29915809631348
mps-uncap,1.0,965.6996726989746,432.6660633087158,180.18317222595215
mps-uncap,0.5,41.72778129577637,10.329961776733398,16.58463478088379
mps-uncap,0.6,58.87484550476074,17.475605010986328,17.5783634185791
mps-uncap,0.7,47.66702651977539,20.15995979309082,21.010398864746094
mps-uncap,0.1,31.665563583374023,4.722356796264648,4.698753356933594
mps-uncap,0.2,46.97465896606445,6.875753402709961,8.55708122253418
mps-uncap,0.3,36.9420051574707,7.464408874511719,9.835481643676758
mps-uncap,0.4,44.05546188354492,8.266925811767578,11.378288269042969
