mode,load,0_inception_v3-32,1_mobilenet_v3_small-4,2_vgg16-8
mps-uncap,0.8,797.3533311109903,439.30211942899297,890.5824159333247
mps-uncap,0.9,871.7704293671871,483.38175307422983,1008.0799709381007
mps-uncap,1.0,1005.4797054918112,536.9056427257481,1102.1408027750504
mps-uncap,0.5,512.3793892145998,268.13938620862984,544.11093565441
mps-uncap,0.6,580.9029499968221,319.5422952048742,665.8854020449137
mps-uncap,0.7,708.9914047176466,376.89499132513566,775.560835088071
mps-uncap,0.1,97.2936219906061,52.020273568228994,103.48388268658857
mps-uncap,0.2,198.79287418961184,110.49886147457116,224.25412511161974
mps-uncap,0.3,310.72759212987467,161.50114226358014,341.91225306223424
mps-uncap,0.4,425.25051138966376,215.20660067444874,456.74739308976746
