mode,load,0_inception_v3-32,1_mobilenet_v3_small-4,2_vgg16-8
mps-uncap,0.8,65.27445316314693,20.17803192138672,25.451326370239258
mps-uncap,0.9,127.19311714172366,48.966169357299805,51.08351707458499
mps-uncap,1.0,426.6475439071655,700.4074096679688,308.1459045410156
mps-uncap,0.5,27.81367301940918,12.19034194946289,12.053871154785158
mps-uncap,0.6,36.576032638549805,13.307142257690431,14.698648452758789
mps-uncap,0.7,52.98361778259278,14.402770996093752,20.537757873535153
mps-uncap,0.1,14.688968658447266,7.3108673095703125,6.215238571166991
mps-uncap,0.2,18.956422805786133,8.570194244384766,8.011698722839355
mps-uncap,0.3,22.072601318359382,10.282206535339357,9.5517635345459
mps-uncap,0.4,26.038217544555668,11.336922645568848,10.87310314178467
