mode,load,0_inception_v3-32,1_mobilenet_v3_small-4,2_vgg16-8
mps-uncap,0.8,112.59351491928147,35.900926589965856,41.55131816864004
mps-uncap,0.9,212.36955642700198,133.061540126801,101.76839590072632
mps-uncap,1.0,634.2394351959226,1553.7022352218628,457.52085685729975
mps-uncap,0.5,26.886606216430586,14.49750661849974,14.844214916229244
mps-uncap,0.6,45.49207210540769,17.45312452316284,21.743211746215923
mps-uncap,0.7,70.67835807800284,20.294916629791278,30.307922363281254
mps-uncap,0.1,0.43172836303710593,6.176049709320076,5.143241882324217
mps-uncap,0.2,11.59626007080078,7.743310928344712,6.474888324737542
mps-uncap,0.3,16.66705608367922,9.312663078308102,9.187207221984856
mps-uncap,0.4,21.592242717742906,12.126886844635012,12.30309009552005
