mode,load,0_inception_v3-32,1_mobilenet_v3_small-4,2_vgg16-8
mps-uncap,0.8,10.432720184326172,2.3550987243652344,5.186796188354492
mps-uncap,0.9,10.689735412597656,2.3202896118164062,5.208015441894531
mps-uncap,1.0,11.238574981689453,2.2916793823242188,5.2433013916015625
mps-uncap,0.5,10.380029678344727,2.334117889404297,5.179166793823242
mps-uncap,0.6,10.406970977783203,2.38037109375,5.182743072509766
mps-uncap,0.7,10.460853576660156,2.315521240234375,5.183219909667969
mps-uncap,0.1,10.48421859741211,2.411365509033203,5.173921585083008
mps-uncap,0.2,10.451316833496094,2.3589134216308594,5.170345306396484
mps-uncap,0.3,10.43081283569336,2.342700958251953,5.158901214599609
mps-uncap,0.4,10.375738143920898,2.382516860961914,5.181074142456055
