mode,load,0_resnet18-16,1_densenet169-8,2_resnet18-4
mps-uncap,1.0,3627.4192953427405,449.39669466764315,1300.4077728018292
mig,1.0,3069.38937745723,411.01172533776423,1412.7676063607798
