mode,load,0_resnet50-8,1_resnet50-8
mig,0.1,0.014543533325195312,0.01430511474609375
mig,0.2,0.010013580322265625,0.011444091796875
mig,0.3,0.011444091796875,0.011205673217773438
mig,0.4,0.011444091796875,0.009298324584960938
mig,0.5,0.010013580322265625,0.010967254638671875
mig,0.6,0.009775161743164062,0.011444091796875
mig,0.7,0.009775161743164062,0.011444091796875
mig,0.8,0.009298324584960938,0.0095367431640625
mig,0.9,0.011205673217773438,0.01239776611328125
mig,1.0,0.012159347534179688,0.012636184692382812
