mode,load,0_densenet169-32,1_inception_v3-8,2_squeezenet1_0-8
mps-uncap,0.8,22.44400978088379,8.599996566772461,1.8367767333984375
mps-uncap,0.9,27.684688568115234,8.683204650878906,1.9075870513916016
mps-uncap,1.0,22.51410484313965,8.706092834472656,1.9392967224121094
mps-uncap,0.5,21.793842315673828,8.519887924194336,1.8301010131835938
mps-uncap,0.6,21.75450325012207,8.6517333984375,1.83868408203125
mps-uncap,0.7,21.963834762573242,8.59212875366211,1.8172264099121094
mps-uncap,0.1,21.814584732055664,8.667707443237305,2.4671554565429688
mps-uncap,0.2,21.720170974731445,8.501291275024414,2.084970474243164
mps-uncap,0.3,21.706104278564453,8.524656295776367,1.920461654663086
mps-uncap,0.4,21.77739143371582,8.68368148803711,1.8224716186523438
