mode,load,0_densenet169-32,1_inception_v3-8,2_squeezenet1_0-8
mps-uncap,0.8,788.9723104099528,429.8126668429856,1488.5850508642095
mps-uncap,0.9,843.5438300665581,490.89916993303,1702.65017463722
mps-uncap,1.0,852.9916652966023,537.5045894536312,1708.6139764825846
mps-uncap,0.5,467.86547159839307,266.81894212861954,954.3187324889946
mps-uncap,0.6,560.0521149367515,323.58782408234623,1122.3181585404927
mps-uncap,0.7,676.55890193283,397.49462996530565,1334.1374477178854
mps-uncap,0.1,88.3685492197405,57.67008374153748,185.75935030969072
mps-uncap,0.2,189.1676833664692,113.80749008200704,373.81804598435735
mps-uncap,0.3,288.39406843928145,171.38327483331076,569.0801924529445
mps-uncap,0.4,355.1499848653768,211.61054899347627,745.8706372502984
