mode,load,0_resnet34-2,1_resnet34-2
mig,0.1,0.046253204345703125,0.046253204345703125
mig,0.2,0.04792213439941406,0.048160552978515625
mig,0.3,0.118255615234375,0.05269050598144531
mig,0.4,0.3254413604736328,0.3178119659423828
mig,0.5,0.41663646697998047,0.4525184631347656
mig,0.6,0.9207725524902344,0.9962320327758789
mig,0.7,1.4274120330810547,1.8421411514282227
mig,0.8,2.146005630493164,2.5987625122070312
mig,0.9,4.417777061462402,6.7539215087890625
mig,1.0,14.06705379486084,51.32293701171875
