mode,load,0_efficientnet_b5-8,1_mobilenet_v2-16,2_vgg19-2
mps-uncap,0.8,252.0224136612241,1796.790917298563,311.31468855566726
mps-uncap,0.9,291.88385156801974,2139.58383584204,358.88993529531473
mps-uncap,1.0,323.30410299983737,2359.1548124129768,399.60930148587283
mps-uncap,0.5,154.12063161325594,1200.7742793934597,195.9523504590103
mps-uncap,0.6,193.5234453347154,1383.7732805129967,235.09356106994673
mps-uncap,0.7,227.32053523818374,1678.7715649544134,275.80498874491815
mps-uncap,0.1,30.105770368809143,243.2243143401202,39.37480353017986
mps-uncap,0.2,64.55771235681863,483.8986559179146,79.47445248051928
mps-uncap,0.3,98.03079820470211,708.2344605628348,124.03825763420896
mps-uncap,0.4,125.80592732856717,942.0107836851514,158.38442055692119
