mode,load,0_efficientnet_b5-8,1_mobilenet_v2-16,2_vgg19-2
mps-uncap,0.8,17.02737808227539,4.988551139831543,3.6268234252929688
mps-uncap,0.9,20.10202407836914,5.757570266723633,4.211902618408203
mps-uncap,1.0,23.915410041809082,6.23774528503418,4.769802093505859
mps-uncap,0.5,15.297889709472656,5.506753921508789,2.852916717529297
mps-uncap,0.6,14.661669731140137,5.3577423095703125,3.1096935272216797
mps-uncap,0.7,15.614867210388184,4.785060882568359,3.3376216888427734
mps-uncap,0.1,20.86615562438965,5.968570709228516,2.4557113647460938
mps-uncap,0.2,20.789384841918945,5.618810653686523,2.44140625
mps-uncap,0.3,16.295671463012695,5.613803863525391,2.4509429931640625
mps-uncap,0.4,15.554308891296387,5.722641944885254,2.6384592056274414
