mode,load,0_efficientnet_b5-8,1_mobilenet_v2-16,2_vgg19-2
mps-uncap,0.8,93.6459112167359,31.21391057968136,25.10194778442382
mps-uncap,0.9,248.5558986663818,66.82785987854002,47.08605766296388
mps-uncap,1.0,1203.8076710700989,499.46959972381563,219.84430074691775
mps-uncap,0.5,44.932899475097706,18.75002145767214,11.117148399353026
mps-uncap,0.6,53.49357128143307,18.73608589172366,12.835023403167723
mps-uncap,0.7,70.41306734085084,24.321241378784226,18.646972179412842
mps-uncap,0.1,39.900493621826186,11.183817386627197,4.719185829162608
mps-uncap,0.2,38.49971771240233,14.023089408874513,5.7246947288513175
mps-uncap,0.3,42.8728103637695,15.862965583801271,6.971197128295881
mps-uncap,0.4,41.506922245025635,16.66081190109254,8.798766136169421
