mode,load,0_efficientnet_b6-8,1_mobilenet_v3_large-2,2_vgg13-4
mps-uncap,0.8,27.112960815429688,5.89561462402344,4.090070724487305
mps-uncap,0.9,28.100132942199707,5.857586860656739,4.22053337097168
mps-uncap,1.0,28.995418548583984,6.235837936401367,4.377460479736328
mps-uncap,0.5,21.416068077087402,6.688690185546875,3.7078857421875
mps-uncap,0.6,23.767471313476562,6.211042404174805,3.8274765014648433
mps-uncap,0.7,25.28226375579834,5.872869491577148,4.0187835693359375
mps-uncap,0.1,25.323104858398438,7.679343223571777,2.9521226882934584
mps-uncap,0.2,25.386476516723633,7.824897766113281,3.260493278503418
mps-uncap,0.3,25.024747848510746,7.695531845092773,3.4435033798217782
mps-uncap,0.4,21.45867347717285,7.37462043762207,3.51557731628418
