mode,load,0_efficientnet_b6-8,1_mobilenet_v3_large-2,2_vgg13-4
mps-uncap,0.8,0.01239776611328125,0.009059906005859375,0.007867813110351562
mps-uncap,0.9,0.011205673217773438,0.008821487426757812,0.007867813110351562
mps-uncap,1.0,0.013589859008789062,0.009298324584960938,0.010013580322265625
mps-uncap,0.5,0.011682510375976562,0.01049041748046875,0.008106231689453125
mps-uncap,0.6,0.011920928955078125,0.009059906005859375,0.00762939453125
mps-uncap,0.7,0.010251998901367188,0.0095367431640625,0.008344650268554688
mps-uncap,0.1,0.020265579223632812,0.01239776611328125,0.01049041748046875
mps-uncap,0.2,0.012874603271484375,0.011682510375976562,0.008821487426757812
mps-uncap,0.3,0.01239776611328125,0.010013580322265625,0.010013580322265625
mps-uncap,0.4,0.013828277587890625,0.009775161743164062,0.009059906005859375
