mode,load,0_efficientnet_b6-8,1_mobilenet_v3_large-2,2_vgg13-4
mps-uncap,0.8,241.49879906226843,280.1064290024753,793.3415268897547
mps-uncap,0.9,269.4738993724998,319.5257650209768,912.660594143584
mps-uncap,1.0,299.8467422522392,348.34516844051734,1016.4037032891229
mps-uncap,0.5,152.42112510858158,176.4484773530502,501.32458943339367
mps-uncap,0.6,171.72309268914069,210.86448704796769,618.2447869419092
mps-uncap,0.7,208.36907812268208,246.40332769001495,715.3912519749844
mps-uncap,0.1,33.615936643141275,34.67551408170949,99.32006188967941
mps-uncap,0.2,58.91762282002684,69.90355012340274,199.21306180763165
mps-uncap,0.3,92.209976690075,106.78149815731174,309.01174414664575
mps-uncap,0.4,111.68398041736265,140.90002858652304,402.22520228077263
