mode,load,0_vgg13-16,1_mobilenet_v3_large-8,2_vgg19-16
mps-uncap,1.0,25.373458862304688,47.3635196685791,36.72003746032715
mig,1.0,24.90067481994629,19.0427303314209,49.34072494506836
