mode,load,0_vgg13-16,1_mobilenet_v3_large-8,2_vgg19-16
mps-uncap,1.0,956.5794934535758,213.8024780814356,632.549516179902
mig,1.0,821.1094084996743,1627.8869408531482,377.56304855155963
