mode,load,0_resnet34-32,1_resnet34-32
mig,0.1,0.013589859008789062,0.0152587890625
mig,0.2,0.018358230590820312,0.012159347534179688
mig,0.3,0.011920928955078125,0.011682510375976562
mig,0.4,0.011444091796875,0.01239776611328125
mig,0.5,0.01049041748046875,0.010728836059570312
mig,0.6,0.010251998901367188,0.010013580322265625
mig,0.7,0.009775161743164062,0.011205673217773438
mig,0.8,0.009775161743164062,0.011682510375976562
mig,0.9,0.011444091796875,0.011682510375976562
mig,1.0,0.012159347534179688,0.012159347534179688
