mode,load,0_densenet121-8,1_densenet161-4,2_squeezenet1_1-32
mps-uncap,0.8,62.867946624756016,73.99715662002555,31.450271606445312
mps-uncap,0.9,118.11740875244156,214.33389186859117,71.5044093132019
mps-uncap,1.0,352.92059421539307,418.5164403915405,301.53295040130615
mps-uncap,0.5,34.55586910247803,45.31706333160398,15.599792003631592
mps-uncap,0.6,40.774488449096744,57.49596118927004,18.842782974243153
mps-uncap,0.7,45.60383081436157,71.45647525787344,23.1168794631958
mps-uncap,0.1,34.61738586425784,40.15371322631837,6.814463138580328
mps-uncap,0.2,35.25035858154297,40.62410593032838,8.087482452392578
mps-uncap,0.3,38.194918632507395,48.43090057373056,9.696197509765621
mps-uncap,0.4,42.361216545104924,44.91180181503298,11.668109893798807
