mode,load,0_densenet121-8,1_densenet161-4,2_squeezenet1_1-32
mps-uncap,0.8,15.457820892333984,20.726990699768066,5.193829536437988
mps-uncap,0.9,16.209888458251953,23.54598045349121,5.2790164947509775
mps-uncap,1.0,16.228914260864258,22.330284118652347,5.677700042724609
mps-uncap,0.5,15.043210983276367,18.723297119140625,4.842257499694823
mps-uncap,0.6,14.184093475341797,19.481658935546875,4.851341247558594
mps-uncap,0.7,15.141105651855469,21.24907970428467,4.957675933837891
mps-uncap,0.1,19.04923915863037,24.652481079101566,4.01897430419922
mps-uncap,0.2,19.39091682434082,26.55792236328125,4.229688644409181
mps-uncap,0.3,18.91930103302002,23.604941368103027,4.5577287673950195
mps-uncap,0.4,17.006731033325195,19.69258785247803,4.642820358276367
